ward_code,spatial_effects,mean_residuals,obesity_rate
E05000026,2.4372453310803737,1.4210854715202004e-14,22.78
E05000027,4.575926404352902,1.5987211554602254e-14,25.875
E05000028,3.123510329693521,1.509903313490213e-14,26.24
E05000029,8.132749081250903,1.1546319456101628e-14,25.747500000000002
E05000030,-1.8553034410493483,1.3322676295501878e-14,23.265
E05000031,2.488713039765547,1.3322676295501878e-14,24.052500000000002
E05000032,4.088691555542652,1.687538997430238e-14,25.322499999999998
E05000033,3.160956571149879,1.4210854715202004e-14,25.315
E05000034,7.885463167144728,1.509903313490213e-14,25.83
E05000035,-1.5168884078107627,1.1546319456101628e-14,23.747500000000002
E05000036,4.878661907004391,1.5987211554602254e-14,24.002499999999998
E05000037,3.793506381458113,1.2434497875801753e-14,25.1825
E05000038,7.970261229975089,1.3322676295501878e-14,28.5925
E05000039,-1.6325954911032303,1.509903313490213e-14,24.715
E05000040,0.9010389263831762,1.509903313490213e-14,22.794999999999998
E05000041,7.87478252172267,1.2434497875801753e-14,27.5725
E05000042,2.7416651162814327,1.4210854715202004e-14,24.8075
E05000043,-4.033804994652439,1.687538997430238e-14,17.197499999999998
E05000044,2.8760065496403335,1.5987211554602254e-14,24.1775
E05000045,-1.564292381758106,1.4210854715202004e-14,21.66
E05000046,3.030995465002362,1.3322676295501878e-14,23.7575
E05000047,-4.826036084224586,1.509903313490213e-14,17.45
E05000048,-0.716502508145088,1.5987211554602254e-14,19.7425
E05000049,-4.167724394226983,1.5987211554602254e-14,15.4775
E05000050,1.3953163919914973,1.4210854715202004e-14,19.6725
E05000051,-8.410684435151968,1.2434497875801753e-14,13.995000000000001
E05000052,-11.507169914592275,1.4210854715202004e-14,10.5
E05000053,-5.074114018568272,1.5987211554602254e-14,17.035
E05000054,3.4817945250245135,1.3322676295501878e-14,21.9675
E05000055,-3.6965575971459304,1.509903313490213e-14,18.43
E05000056,-3.508915652459041,1.509903313490213e-14,15.719999999999999
E05000057,-0.2018801039414111,1.4210854715202004e-14,18.555
E05000058,-7.031158873578635,1.687538997430238e-14,15.655000000000001
E05000059,-4.103494431126785,1.5987211554602254e-14,15.235
E05000060,-1.4477351997675418,1.3322676295501878e-14,18.0425
E05000061,-9.541771225320916,1.3322676295501878e-14,14.05
E05000062,-4.9579248235794635,1.5987211554602254e-14,17.925
E05000063,-2.4011722053202478,1.509903313490213e-14,19.357499999999998
E05000064,-2.334886776661424,1.5987211554602254e-14,22.3375
E05000065,3.5124195191303693,1.5987211554602254e-14,24.0675
E05000066,-4.015669061401048,1.3322676295501878e-14,19.725
E05000067,-4.947288810619,1.2434497875801753e-14,17.9725
E05000068,-2.0849309490482097,1.4210854715202004e-14,21.425
E05000069,-4.881787104484755,1.2434497875801753e-14,16.9825
E05000070,2.0455437377411947,1.509903313490213e-14,24.6375
E05000071,1.2981719929321631,1.5987211554602254e-14,20.79
E05000072,8.029597880654869,1.4210854715202004e-14,24.475
E05000073,-0.2649742270956992,1.4210854715202004e-14,20.63
E05000074,0.42614864223446247,1.509903313490213e-14,22.2675
E05000075,5.580179074325256,1.2434497875801753e-14,27.1525
E05000076,-2.7788609621858793,1.4210854715202004e-14,21.3825
E05000077,1.7195249776098906,1.5987211554602254e-14,22.68
E05000078,-6.189494250417435,1.4210854715202004e-14,16.985
E05000079,5.950195867900968,1.3322676295501878e-14,24.740000000000002
E05000080,-2.6217826151268797,1.3322676295501878e-14,21.5975
E05000081,-3.910475907398284,1.2434497875801753e-14,16.7025
E05000082,-1.6098943849314127,1.3322676295501878e-14,21.0225
E05000083,-5.267538892560658,1.1546319456101628e-14,17.35
E05000084,10.236144542265901,1.4210854715202004e-14,26.45
E05000085,-3.9405568366194785,1.4210854715202004e-14,18.4875
E05000086,8.073890428120777,1.687538997430238e-14,27.3375
E05000087,-1.350705599469351,1.4210854715202004e-14,20.8525
E05000088,0.7523744347489378,1.4210854715202004e-14,21.485
E05000089,2.021231871327454,1.5987211554602254e-14,24.145
E05000090,-0.050383625540129096,1.4210854715202004e-14,18.8825
E05000091,6.327799497825327,1.5987211554602254e-14,27.7275
E05000092,3.7589741308144085,1.5987211554602254e-14,25.2675
E05000093,-3.0401757439133905,1.4210854715202004e-14,18.37
E05000094,4.613120796742176,1.509903313490213e-14,26.195
E05000095,-0.8055702113920846,1.5987211554602254e-14,22.2125
E05000096,0.18058630428545097,1.4210854715202004e-14,20.21
E05000097,1.2012867274725352,1.509903313490213e-14,22.7075
E05000098,-2.6966873154159883,1.4210854715202004e-14,19.445
E05000099,-0.2837256225661289,1.4210854715202004e-14,22.2025
E05000100,5.226251146793011,1.509903313490213e-14,26.8725
E05000101,4.312951690716633,1.3322676295501878e-14,24.9
E05000102,2.088304604725014,1.509903313490213e-14,24.5475
E05000103,7.535492233122335,1.1546319456101628e-14,26.802500000000002
E05000104,0.06047846704199067,1.1546319456101628e-14,20.3
E05000105,4.759747106096321,1.4210854715202004e-14,23.945
E05000106,-7.817442206561017,1.509903313490213e-14,12.584999999999999
E05000107,-2.9153245598868858,1.2434497875801753e-14,14.685
E05000108,0.4752870616237974,1.3322676295501878e-14,16.155
E05000109,-5.737470163228366,1.4210854715202004e-14,15.425
E05000110,-2.3039382860246884,1.2434497875801753e-14,14.794999999999998
E05000111,0.4114345813547282,1.509903313490213e-14,15.3525
E05000112,-4.788169717940441,1.4210854715202004e-14,17.86
E05000113,-10.086407593437356,1.509903313490213e-14,12.5
E05000114,5.891110909533379,1.3322676295501878e-14,22.57
E05000115,0.5476818560722183,1.4210854715202004e-14,20.1875
E05000116,5.270667946483794,1.509903313490213e-14,23.6525
E05000117,4.771606967645615,1.3322676295501878e-14,16.385
E05000118,-5.249028313598641,1.4210854715202004e-14,13.535
E05000119,-6.012213553956809,1.4210854715202004e-14,11.6875
E05000120,-4.002929878567011,1.4210854715202004e-14,15.4975
E05000121,3.2402578917463245,1.5987211554602254e-14,21.8375
E05000122,-1.147148460466278,1.509903313490213e-14,18.8325
E05000123,1.8926626732694665,1.509903313490213e-14,22.305
E05000124,-11.60714683774077,1.509903313490213e-14,11.379999999999999
E05000125,-3.8713701137476657,1.687538997430238e-14,16.1425
E05000126,-11.992112893231111,1.2434497875801753e-14,12.72
E05000127,-8.652219543507673,1.3322676295501878e-14,12.7375
E05000128,-2.155511740704421,1.509903313490213e-14,21.945
E05000129,2.767733859365432,1.3322676295501878e-14,24.515
E05000130,-5.382111514636841,1.865174681370263e-14,16.822499999999998
E05000131,-2.228621297592448,1.4210854715202004e-14,20.3475
E05000132,0.8237611429710059,1.509903313490213e-14,22.2425
E05000133,-11.493735329196,1.1842378929335004e-14,12.233333333333334
E05000134,0.25431428082596597,1.3322676295501878e-14,22.240000000000002
E05000135,-5.986118185268277,1.1842378929335004e-14,12.966666666666669
E05000136,4.831163245910462,1.4210854715202004e-14,27.0125
E05000137,-8.397526393341034,1.509903313490213e-14,15.2
E05000138,-3.1297317719434146,1.4210854715202004e-14,19.9825
E05000139,1.218940722575482,1.4210854715202004e-14,23.765
E05000140,1.5828325303073614,1.2434497875801753e-14,24.195
E05000141,1.2493799191214512,1.4210854715202004e-14,23.6275
E05000142,4.557428324153515,1.509903313490213e-14,25.285
E05000143,2.2679044677423095,1.4210854715202004e-14,22.315
E05000144,0.5078869632053813,1.509903313490213e-14,22.08
E05000145,-3.110982653627011,1.4210854715202004e-14,19.495
E05000146,-4.198625963549693,1.2434497875801753e-14,19.1275
E05000147,1.4027534710919207,1.4210854715202004e-14,24.3225
E05000148,1.4786394675867918,1.3322676295501878e-14,24.205000000000002
E05000149,3.5292978140086975,1.4210854715202004e-14,26.75
E05000150,-1.1664196737162205,1.5987211554602254e-14,15.35
E05000151,-4.072165456725238,1.4210854715202004e-14,17.845
E05000152,-1.1047071279320484,1.4210854715202004e-14,20.54
E05000153,0.08330328916459262,1.509903313490213e-14,22.759999999999998
E05000154,4.60090981207382,1.509903313490213e-14,24.79
E05000155,1.3663109466711258,1.509903313490213e-14,16.634999999999998
E05000156,-5.581817446746834,1.5987211554602254e-14,15.1
E05000157,7.495798405673899,1.687538997430238e-14,26.557499999999997
E05000158,1.9836591095132379,1.3322676295501878e-14,25.7
E05000159,-5.313796342917293,1.5987211554602254e-14,18.3375
E05000160,-2.776267652716162,1.5987211554602254e-14,16.7075
E05000161,4.947772140448447,1.5987211554602254e-14,25.4225
E05000162,-1.2416050772870135,1.509903313490213e-14,17.88
E05000163,-3.5634959676800024,1.509903313490213e-14,18.25
E05000164,-0.37593870337440194,1.687538997430238e-14,22.955
E05000165,4.3072144905327026,1.3322676295501878e-14,26.615000000000002
E05000166,1.910098702883091,1.509903313490213e-14,24.9225
E05000167,0.8941931650224904,1.5987211554602254e-14,20.105
E05000168,6.1144370007325435,1.4210854715202004e-14,26.725
E05000169,3.634066913391935,1.687538997430238e-14,23.205
E05000170,-3.519743491575116,1.2434497875801753e-14,18.26
E05000171,-1.5830525083642257,1.5987211554602254e-14,18.5125
E05000172,5.4757037186103705,1.5987211554602254e-14,25.0475
E05000173,-9.127155738792283,1.4210854715202004e-14,14.537500000000001
E05000174,-2.609071795347841,1.687538997430238e-14,19.3375
E05000175,0.03406257060084528,1.4210854715202004e-14,22.475
E05000176,-0.3515170281735074,1.3322676295501878e-14,21.0925
E05000177,2.916595601480478,1.1546319456101628e-14,23.9825
E05000178,0.9345039579627299,1.687538997430238e-14,22.759999999999998
E05000179,-1.2992310636217352,1.3322676295501878e-14,19.35
E05000180,-1.9902905002929279,1.509903313490213e-14,20.0925
E05000181,-1.6581028077261575,1.5987211554602254e-14,20.825
E05000182,-7.642076327177554,1.4210854715202004e-14,14.2825
E05000183,4.2393415069999,1.5987211554602254e-14,23.55
E05000184,1.9235402525058243,1.509903313490213e-14,23.1425
E05000185,2.805667616203304,1.509903313490213e-14,20.25
E05000186,2.6927416589943975,1.509903313490213e-14,21.6525
E05000187,2.9842546480831658,1.509903313490213e-14,23.5875
E05000188,3.4895946912026723,1.3322676295501878e-14,25.725
E05000189,1.288280139079232,1.509903313490213e-14,24.365000000000002
E05000190,3.2652989612991608,1.5987211554602254e-14,24.314999999999998
E05000191,-6.601351237258644,1.687538997430238e-14,16.97
E05000192,-10.016274558462436,1.2434497875801753e-14,14.73
E05000193,-1.540649313644204,1.2434497875801753e-14,21.91
E05000194,-0.4214752781364268,1.509903313490213e-14,21.27
E05000195,7.926146290027599,1.509903313490213e-14,21.985
E05000196,3.1415726376017776,1.4210854715202004e-14,19.9075
